,estacao,data_medicao,ano,mes,precipitacao,temperatura_max_media,temperatura_media_compensada,temperatura_min_media,umidade_relativa_ar_media
1760,PELOTAS,2018-09-30,2018,9,227.7,21.79,17.512,14.403333,87.616667
1761,PELOTAS,2018-10-31,2018,10,117.3,22.390323,17.76,13.929032,80.830645
1762,PELOTAS,2018-11-30,2018,11,52.9,26.25,21.182,16.736667,77.683333
1763,PELOTAS,2018-12-31,2018,12,44.7,27.977419,22.177419,17.793548,76.612903
1764,PELOTAS,2019-01-31,2019,1,266.0,29.316129,24.636774,21.016129,84.516129
1765,PELOTAS,2019-02-28,2019,2,75.7,28.514286,23.193571,19.039286,81.982143
1766,PELOTAS,2019-03-31,2019,3,24.5,27.032258,21.336129,16.964516,82.177419
1767,PELOTAS,2019-04-30,2019,4,85.6,25.276667,19.586,15.703333,87.325
1768,PELOTAS,2019-05-31,2019,5,87.9,22.180645,17.280645,13.941935,90.532258
1769,PELOTAS,2019-06-30,2019,6,39.2,22.683333,16.152,11.85,87.2
1770,PELOTAS,2019-07-31,2019,7,130.8,17.16129,11.485806,7.580645,87.25
1771,PELOTAS,2019-08-31,2019,8,103.0,18.7,12.877419,8.509677,86.08871
1772,PELOTAS,2019-09-30,2019,9,147.8,19.96,14.657333,10.43,82.966667
1773,PELOTAS,2019-10-31,2019,10,264.9,23.306452,18.517419,14.629032,85.040323
1774,PELOTAS,2019-11-30,2019,11,101.7,25.386667,21.112667,17.263333,79.066667
1775,PELOTAS,2019-12-31,2019,12,38.3,28.893548,,16.990323,
1776,PELOTAS,2020-01-31,2020,1,38.5,29.332258,23.646452,19.106452,79.991935
1777,PELOTAS,2020-02-29,2020,2,32.2,29.351724,23.248276,18.541379,76.155172
1778,PELOTAS,2020-03-31,2020,3,38.8,29.277419,22.880645,18.290323,81.451613
1779,PELOTAS,2020-04-30,2020,4,101.8,24.813333,18.645333,14.553333,80.383333
1780,PELOTAS,2020-05-31,2020,5,91.1,21.793548,15.146452,10.393548,81.693548
1781,PELOTAS,2020-06-30,2020,6,202.5,19.337931,,10.306667,
1782,PELOTAS,2020-07-31,2020,7,102.1,17.603226,,7.309677,
1783,PELOTAS,2020-08-31,2020,8,49.4,19.967742,,9.112903,
1784,PELOTAS,2020-09-30,2020,9,179.8,18.953333,,10.673333,
1785,PELOTAS,2020-10-31,2020,10,122.1,22.477419,,13.522581,
1786,PELOTAS,2020-11-30,2020,11,29.1,24.866667,19.786667,15.45,79.566667
1787,PELOTAS,2020-12-31,2020,12,139.3,26.93871,22.138065,18.03871,79.056452
1788,PELOTAS,2021-01-31,2021,1,223.3,29.306452,,19.683871,
1789,PELOTAS,2021-02-28,2021,2,193.9,28.042857,23.002143,19.192857,84.598214
1790,PELOTAS,2021-03-31,2021,3,221.7,27.009677,22.023871,18.467742,87.129032
1791,PELOTAS,2021-04-30,2021,4,28.1,25.516667,,15.913333,
1792,PELOTAS,2021-05-31,2021,5,35.4,20.841935,,8.703226,
1793,PELOTAS,2021-06-30,2021,6,97.5,18.156667,,9.523333,
1794,PELOTAS,2021-07-31,2021,7,68.1,18.3,,7.33871,
1795,PELOTAS,2021-08-31,2021,8,135.9,19.519355,,11.051613,
1796,PELOTAS,2021-09-30,2021,9,219.6,20.87,,13.866667,
1797,PELOTAS,2021-10-31,2021,10,78.8,23.774194,17.98,13.3,77.435484
1798,PELOTAS,2021-11-30,2021,11,47.7,26.166667,20.748421,16.386667,75.45
1799,PELOTAS,2021-12-31,2021,12,34.5,27.090323,22.2784,17.53871,75.169355
1800,SANTA VITORIA DO PALMAR,2007-01-31,2007,1,3.2,28.812903,22.943226,18.177419,71.806452
1801,SANTA VITORIA DO PALMAR,2007-02-28,2007,2,268.8,28.985714,23.329286,18.567857,78.982143
1802,SANTA VITORIA DO PALMAR,2007-03-31,2007,3,237.6,26.341935,21.726452,18.080645,83.346774
1803,SANTA VITORIA DO PALMAR,2007-04-30,2007,4,71.1,24.316667,19.26,14.946667,82.408333
1804,SANTA VITORIA DO PALMAR,2007-05-31,2007,5,146.5,17.551613,12.605161,8.958065,80.895161
1805,SANTA VITORIA DO PALMAR,2007-06-30,2007,6,137.4,15.57,10.934,7.526667,83.958333
1806,SANTA VITORIA DO PALMAR,2007-07-31,2007,7,36.2,13.664516,8.650968,4.929032,80.282258
1807,SANTA VITORIA DO PALMAR,2007-08-31,2007,8,120.7,14.329032,10.472903,7.66129,85.620968
1808,SANTA VITORIA DO PALMAR,2007-09-30,2007,9,44.2,19.84,15.018667,11.676667,87.725
1809,SANTA VITORIA DO PALMAR,2007-10-31,2007,10,213.0,22.429032,17.64,14.129032,83.516129
1810,SANTA VITORIA DO PALMAR,2007-11-30,2007,11,46.7,22.846667,17.179333,12.71,73.008333
1811,SANTA VITORIA DO PALMAR,2007-12-31,2007,12,82.1,26.274194,20.524516,16.009677,73.814516
1812,SANTA VITORIA DO PALMAR,2008-01-31,2008,1,27.0,27.222581,22.410968,18.519355,71.879032
1813,SANTA VITORIA DO PALMAR,2008-02-29,2008,2,49.4,27.434483,22.411724,18.924138,80.844828
1814,SANTA VITORIA DO PALMAR,2008-03-31,2008,3,98.0,26.416129,21.272258,17.564516,79.08871
1815,SANTA VITORIA DO PALMAR,2008-04-30,2008,4,44.4,23.956667,17.300667,12.86,75.833333
1816,SANTA VITORIA DO PALMAR,2008-05-31,2008,5,219.7,19.764516,14.527097,11.019355,83.491935
1817,SANTA VITORIA DO PALMAR,2008-06-30,2008,6,88.8,15.586667,11.286,8.286667,84.491667
1818,SANTA VITORIA DO PALMAR,2008-07-31,2008,7,43.2,18.487097,13.839355,10.958065,86.153226
1819,SANTA VITORIA DO PALMAR,2008-08-31,2008,8,85.9,17.493548,12.083871,8.058065,81.66129
1820,SANTA VITORIA DO PALMAR,2008-09-30,2008,9,38.0,17.926667,13.698,10.626667,82.783333
1821,SANTA VITORIA DO PALMAR,2008-10-31,2008,10,13.3,21.835484,16.423871,12.193548,76.169355
1822,SANTA VITORIA DO PALMAR,2008-11-30,2008,11,11.3,25.873333,20.274,16.14,74.591667
1823,SANTA VITORIA DO PALMAR,2008-12-31,2008,12,95.6,25.967742,20.986452,16.883871,75.604839
1824,SANTA VITORIA DO PALMAR,2009-01-31,2009,1,96.8,27.496774,22.343226,18.367742,72.370968
1825,SANTA VITORIA DO PALMAR,2009-02-28,2009,2,81.7,27.775,22.354286,18.307143,76.857143
1826,SANTA VITORIA DO PALMAR,2009-03-31,2009,3,154.1,26.683871,21.821935,18.212903,81.314516
1827,SANTA VITORIA DO PALMAR,2009-04-30,2009,4,18.8,24.503333,18.201333,13.61,77.616667
1828,SANTA VITORIA DO PALMAR,2009-05-31,2009,5,134.5,21.229032,15.457419,11.451613,81.895161
1829,SANTA VITORIA DO PALMAR,2009-06-30,2009,6,59.2,15.876667,10.989333,7.843333,84.366667
1830,SANTA VITORIA DO PALMAR,2009-07-31,2009,7,29.2,14.46129,9.442581,6.132258,80.274194
1831,SANTA VITORIA DO PALMAR,2009-08-31,2009,8,109.8,19.374194,13.781935,9.683871,80.532258
1832,SANTA VITORIA DO PALMAR,2009-09-30,2009,9,65.1,17.553333,13.542,10.66,82.325
1833,SANTA VITORIA DO PALMAR,2009-10-31,2009,10,144.5,20.177419,15.216,10.890323,78.016667
1834,SANTA VITORIA DO PALMAR,2009-11-30,2009,11,160.2,23.78,19.232667,15.716667,83.491667
1835,SANTA VITORIA DO PALMAR,2009-12-31,2009,12,99.2,24.432258,20.510968,17.383871,79.701613
1836,SANTA VITORIA DO PALMAR,2010-01-31,2010,1,81.9,28.06129,23.017419,18.783871,76.290323
1837,SANTA VITORIA DO PALMAR,2010-02-28,2010,2,273.2,27.596429,23.227857,19.835714,81.910714
1838,SANTA VITORIA DO PALMAR,2010-03-31,2010,3,134.2,26.806452,21.665161,17.777419,79.120968
1839,SANTA VITORIA DO PALMAR,2010-04-30,2010,4,128.6,23.77,18.117333,14.083333,77.95
1840,SANTA VITORIA DO PALMAR,2010-05-31,2010,5,47.3,20.290323,16.02129,13.06129,83.451613
1841,SANTA VITORIA DO PALMAR,2010-06-30,2010,6,65.2,16.99,12.282,8.976667,81.108333
1842,SANTA VITORIA DO PALMAR,2010-07-31,2010,7,154.9,16.019355,11.238065,7.709677,84.669355
1843,SANTA VITORIA DO PALMAR,2010-08-31,2010,8,42.6,16.512903,11.565806,7.951613,83.120968
1844,SANTA VITORIA DO PALMAR,2010-09-30,2010,9,137.4,18.836667,14.174667,10.993333,83.341667
1845,SANTA VITORIA DO PALMAR,2010-10-31,2010,10,19.2,20.816129,15.47871,11.180645,75.08871
1846,SANTA VITORIA DO PALMAR,2010-11-30,2010,11,65.3,23.026667,17.154667,12.7,74.825
1847,SANTA VITORIA DO PALMAR,2010-12-31,2010,12,26.3,27.867742,21.585161,16.693548,71.120968
1848,SANTA VITORIA DO PALMAR,2011-01-31,2011,1,75.7,29.058065,23.604516,19.596774,78.072581
1849,SANTA VITORIA DO PALMAR,2011-02-28,2011,2,118.3,26.867857,22.172857,18.571429,75.25
1850,SANTA VITORIA DO PALMAR,2011-03-31,2011,3,73.5,25.6,20.583226,16.822581,75.717742
1851,SANTA VITORIA DO PALMAR,2011-04-30,2011,4,160.6,23.603333,18.134,14.05,79.9
1852,SANTA VITORIA DO PALMAR,2011-05-31,2011,5,178.6,19.203226,14.225161,10.812903,83.290323
1853,SANTA VITORIA DO PALMAR,2011-06-30,2011,6,117.7,16.216667,11.585333,8.533333,84.583333
1854,SANTA VITORIA DO PALMAR,2011-07-31,2011,7,128.5,14.46129,10.100645,7.080645,85.516129
1855,SANTA VITORIA DO PALMAR,2011-08-31,2011,8,159.4,15.23871,11.284516,8.190323,83.596774
1856,SANTA VITORIA DO PALMAR,2011-09-30,2011,9,62.4,18.716667,13.612,9.733333,77.508333
1857,SANTA VITORIA DO PALMAR,2011-10-31,2011,10,123.0,20.651613,15.897419,12.683871,81.153226
1858,SANTA VITORIA DO PALMAR,2011-11-30,2011,11,16.5,24.656667,19.138667,14.656667,73.858333
1859,SANTA VITORIA DO PALMAR,2011-12-31,2011,12,48.1,24.729032,19.992258,16.148387,75.16129
1860,SANTA VITORIA DO PALMAR,2012-01-31,2012,1,13.1,28.354839,22.576129,18.070968,70.08871
1861,SANTA VITORIA DO PALMAR,2012-02-29,2012,2,139.8,28.193103,23.425517,19.917241,78.956897
1862,SANTA VITORIA DO PALMAR,2012-03-31,2012,3,63.8,26.412903,20.88129,16.767742,80.080645
1863,SANTA VITORIA DO PALMAR,2012-04-30,2012,4,39.0,22.72,17.013333,13.186667,80.233333
1864,SANTA VITORIA DO PALMAR,2012-05-31,2012,5,16.0,22.322581,16.647097,13.264516,82.919355
1865,SANTA VITORIA DO PALMAR,2012-06-30,2012,6,120.0,16.656667,11.223333,7.463333,82.4
1866,SANTA VITORIA DO PALMAR,2012-07-31,2012,7,41.3,14.703226,8.879355,4.896774,79.153226
1867,SANTA VITORIA DO PALMAR,2012-08-31,2012,8,96.4,19.119355,14.557419,11.332258,86.782258
1868,SANTA VITORIA DO PALMAR,2012-09-30,2012,9,31.2,19.85,14.664,10.91,80.983333
1869,SANTA VITORIA DO PALMAR,2012-10-31,2012,10,111.8,21.9,17.516774,14.567742,83.475806
1870,SANTA VITORIA DO PALMAR,2012-11-30,2012,11,41.4,25.403333,20.241333,16.393333,75.566667
1871,SANTA VITORIA DO PALMAR,2012-12-31,2012,12,187.6,28.16129,22.689032,18.2,72.516129
1872,SANTA VITORIA DO PALMAR,2013-01-31,2013,1,27.5,27.754839,22.187097,17.619355,71.330645
1873,SANTA VITORIA DO PALMAR,2013-02-28,2013,2,222.0,26.685714,22.052857,18.553571,75.142857
1874,SANTA VITORIA DO PALMAR,2013-03-31,2013,3,52.3,24.33871,18.999355,14.693548,74.685484
1875,SANTA VITORIA DO PALMAR,2013-04-30,2013,4,111.7,23.023333,17.804667,14.226667,81.466667
1876,SANTA VITORIA DO PALMAR,2013-05-31,2013,5,113.9,18.516129,13.993548,10.909677,83.58871
1877,SANTA VITORIA DO PALMAR,2013-06-30,2013,6,33.2,16.893333,11.495333,7.803333,82.908333
1878,SANTA VITORIA DO PALMAR,2013-07-31,2013,7,90.5,15.606452,10.86,7.680645,83.669355
1879,SANTA VITORIA DO PALMAR,2013-08-31,2013,8,114.9,15.809677,10.701935,7.229032,79.532258
1880,SANTA VITORIA DO PALMAR,2013-09-30,2013,9,223.8,19.46,14.447333,11.096667,81.983333
1881,SANTA VITORIA DO PALMAR,2013-10-31,2013,10,29.3,21.503226,16.45871,12.525806,79.725806
1882,SANTA VITORIA DO PALMAR,2013-11-30,2013,11,88.6,23.786667,19.136667,15.936667,80.233333
1883,SANTA VITORIA DO PALMAR,2013-12-31,2013,12,59.7,29.316129,22.918065,18.06129,70.766129
1884,SANTA VITORIA DO PALMAR,2014-01-31,2014,1,187.3,28.835484,23.749677,20.0,79.459677
1885,SANTA VITORIA DO PALMAR,2014-02-28,2014,2,143.6,27.217857,23.030714,20.453571,81.741071
1886,SANTA VITORIA DO PALMAR,2014-03-31,2014,3,101.5,25.003226,20.049032,16.6,79.879032
1887,SANTA VITORIA DO PALMAR,2014-04-30,2014,4,87.4,22.716667,17.942667,14.766667,81.475
1888,SANTA VITORIA DO PALMAR,2014-05-31,2014,5,98.0,19.025806,14.353548,11.358065,86.048387
1889,SANTA VITORIA DO PALMAR,2014-06-30,2014,6,126.3,16.886667,12.473333,9.306667,84.1
1890,SANTA VITORIA DO PALMAR,2014-07-31,2014,7,131.5,17.106452,12.830323,10.090323,85.782258
1891,SANTA VITORIA DO PALMAR,2014-08-31,2014,8,23.6,18.254839,13.126452,9.706452,81.209677
1892,SANTA VITORIA DO PALMAR,2014-09-30,2014,9,192.6,19.486667,15.216,11.9,83.358333
1893,SANTA VITORIA DO PALMAR,2014-10-31,2014,10,139.0,22.870968,18.394839,15.03871,81.58871
1894,SANTA VITORIA DO PALMAR,2014-11-30,2014,11,65.5,24.296667,19.705333,15.82,74.891667
1895,SANTA VITORIA DO PALMAR,2014-12-31,2014,12,112.7,26.745161,21.718065,17.941935,76.782258
1896,SANTA VITORIA DO PALMAR,2015-01-31,2015,1,199.9,28.109677,23.067742,19.129032,75.540323
1897,SANTA VITORIA DO PALMAR,2015-02-28,2015,2,43.6,27.553571,22.804286,19.085714,76.080357
1898,SANTA VITORIA DO PALMAR,2015-03-31,2015,3,13.6,27.325806,21.757419,17.587097,77.58871
1899,SANTA VITORIA DO PALMAR,2015-04-30,2015,4,10.6,25.753333,19.005333,14.453333,71.183333
1900,SANTA VITORIA DO PALMAR,2015-05-31,2015,5,75.1,21.654839,15.980645,12.583871,81.233871
1901,SANTA VITORIA DO PALMAR,2015-06-30,2015,6,30.9,18.3,12.419333,8.616667,78.6
1902,SANTA VITORIA DO PALMAR,2015-07-31,2015,7,66.7,17.335484,12.29871,9.067742,86.048387
1903,SANTA VITORIA DO PALMAR,2015-08-31,2015,8,270.8,19.822581,15.768387,12.703226,85.274194
1904,SANTA VITORIA DO PALMAR,2015-09-30,2015,9,121.1,18.63,13.598667,9.923333,77.8
1905,SANTA VITORIA DO PALMAR,2015-10-31,2015,10,211.4,18.787097,15.119355,12.312903,81.193548
1906,SANTA VITORIA DO PALMAR,2015-11-30,2015,11,71.5,22.49,18.03,14.683333,76.108333
1907,SANTA VITORIA DO PALMAR,2015-12-31,2015,12,65.9,26.525806,21.424516,17.535484,75.596774
1908,SANTA VITORIA DO PALMAR,2016-01-31,2016,1,45.6,28.054839,23.019355,19.364516,74.032258
1909,SANTA VITORIA DO PALMAR,2016-02-29,2016,2,101.4,28.741379,23.657241,20.013793,75.405172
1910,SANTA VITORIA DO PALMAR,2016-03-31,2016,3,153.1,24.890323,20.524516,17.4,79.83871
1911,SANTA VITORIA DO PALMAR,2016-04-30,2016,4,406.0,21.796667,18.672667,16.456667,85.791667
1912,SANTA VITORIA DO PALMAR,2016-05-31,2016,5,65.1,16.796774,13.060645,10.370968,85.604839
1913,SANTA VITORIA DO PALMAR,2016-06-30,2016,6,30.4,14.113333,10.090667,7.73,86.15
1914,SANTA VITORIA DO PALMAR,2016-07-31,2016,7,167.5,15.729032,11.570968,8.732258,87.330645
1915,SANTA VITORIA DO PALMAR,2016-08-31,2016,8,109.5,17.522581,12.699355,9.870968,83.298387
1916,SANTA VITORIA DO PALMAR,2016-09-30,2016,9,98.8,17.426667,13.007333,10.22,82.983333
1917,SANTA VITORIA DO PALMAR,2016-10-31,2016,10,81.3,20.706452,16.416129,13.245161,81.41129
1918,SANTA VITORIA DO PALMAR,2016-11-30,2016,11,93.6,24.256667,18.485333,14.276667,73.325
1919,SANTA VITORIA DO PALMAR,2016-12-31,2016,12,107.6,27.058065,21.460645,17.245161,73.862903
1920,SANTA VITORIA DO PALMAR,2017-01-31,2017,1,54.0,27.929032,22.830323,19.229032,77.040323
1921,SANTA VITORIA DO PALMAR,2017-02-28,2017,2,117.0,28.853571,24.185,20.764286,81.205357
1922,SANTA VITORIA DO PALMAR,2017-03-31,2017,3,70.7,26.067742,21.088387,17.358065,76.395161
1923,SANTA VITORIA DO PALMAR,2017-04-30,2017,4,84.5,23.156667,18.412,14.98,77.975
1924,SANTA VITORIA DO PALMAR,2017-05-31,2017,5,105.4,20.580645,16.072903,13.041935,85.741935
1925,SANTA VITORIA DO PALMAR,2017-06-30,2017,6,47.2,19.06,13.386667,9.856667,82.525
1926,SANTA VITORIA DO PALMAR,2017-07-31,2017,7,73.4,18.993548,14.276129,11.416129,83.975806
1927,SANTA VITORIA DO PALMAR,2017-08-31,2017,8,164.2,18.648387,14.217419,11.006452,83.33871
1928,SANTA VITORIA DO PALMAR,2017-09-30,2017,9,188.0,20.0,16.383333,13.67,85.508333
1929,SANTA VITORIA DO PALMAR,2017-10-31,2017,10,155.2,21.990323,17.188387,13.390323,74.951613
1930,SANTA VITORIA DO PALMAR,2017-11-30,2017,11,19.1,24.303333,18.126,13.443333,67.733333
1931,SANTA VITORIA DO PALMAR,2017-12-31,2017,12,12.3,27.764516,21.994839,17.883871,71.41129
1932,SANTA VITORIA DO PALMAR,2018-01-31,2018,1,108.4,28.803226,23.273548,18.948387,70.927419
1933,SANTA VITORIA DO PALMAR,2018-02-28,2018,2,46.2,27.825,22.280714,17.903571,72.0625
1934,SANTA VITORIA DO PALMAR,2018-03-31,2018,3,49.8,26.296774,20.240645,15.83871,75.491935
1935,SANTA VITORIA DO PALMAR,2018-04-30,2018,4,115.2,26.16,21.472667,18.546667,82.508333
1936,SANTA VITORIA DO PALMAR,2018-05-31,2018,5,45.8,20.829032,16.010323,12.922581,82.935484
1937,SANTA VITORIA DO PALMAR,2018-06-30,2018,6,68.0,15.333333,10.615333,7.35,84.35
1938,SANTA VITORIA DO PALMAR,2018-07-31,2018,7,195.1,14.667742,11.374839,8.870968,86.362903
1939,SANTA VITORIA DO PALMAR,2018-08-31,2018,8,103.4,16.445161,11.872903,8.603226,83.951613
1940,SANTA VITORIA DO PALMAR,2018-09-30,2018,9,103.0,20.4,16.2,13.313333,82.541667
1941,SANTA VITORIA DO PALMAR,2018-10-31,2018,10,81.2,20.935484,16.072903,12.470968,77.274194
1942,SANTA VITORIA DO PALMAR,2018-11-30,2018,11,79.8,24.79,19.879333,16.093333,73.975
1943,SANTA VITORIA DO PALMAR,2018-12-31,2018,12,143.9,25.532258,20.276774,16.116129,76.870968
1944,SANTA VITORIA DO PALMAR,2019-01-31,2019,1,230.0,27.848387,23.442581,20.122581,79.685484
1945,SANTA VITORIA DO PALMAR,2019-02-28,2019,2,84.1,27.85,22.516429,18.421429,72.133929
1946,SANTA VITORIA DO PALMAR,2019-03-31,2019,3,77.1,25.612903,20.873548,17.548387,77.427419
1947,SANTA VITORIA DO PALMAR,2019-04-30,2019,4,37.1,24.133333,18.825333,15.3,78.408333
1948,SANTA VITORIA DO PALMAR,2019-05-31,2019,5,114.7,20.732258,16.232903,13.0,82.790323
1949,SANTA VITORIA DO PALMAR,2019-06-30,2019,6,239.6,19.483333,14.796,11.606667,85.55
1950,SANTA VITORIA DO PALMAR,2019-07-31,2019,7,103.7,15.990323,11.169677,8.116129,82.483871
1951,SANTA VITORIA DO PALMAR,2019-08-31,2019,8,190.8,16.367742,11.159355,7.819355,82.629032
1952,SANTA VITORIA DO PALMAR,2019-09-30,2019,9,86.7,18.743333,13.259333,9.073333,77.291667
1953,SANTA VITORIA DO PALMAR,2019-10-31,2019,10,283.2,21.203226,16.908387,13.664516,80.774194
1954,SANTA VITORIA DO PALMAR,2019-11-30,2019,11,44.5,25.196667,20.267333,16.46,73.316667
1955,SANTA VITORIA DO PALMAR,2019-12-31,2019,12,33.3,28.535484,21.774839,16.964516,68.766129
1956,SANTA VITORIA DO PALMAR,2020-01-31,2020,1,72.6,28.125806,22.655484,18.651613,72.677419
1957,SANTA VITORIA DO PALMAR,2020-02-29,2020,2,37.4,27.996552,22.247586,18.034483,73.913793
1958,SANTA VITORIA DO PALMAR,2020-03-31,2020,3,12.0,28.074194,22.340645,18.429032,76.58871
1959,SANTA VITORIA DO PALMAR,2020-04-30,2020,4,90.6,23.813333,18.284667,14.683333,77.516667
1960,SANTA VITORIA DO PALMAR,2020-05-31,2020,5,50.4,20.937037,15.028148,11.477778,
1961,SANTA VITORIA DO PALMAR,2020-06-30,2020,6,,17.4,13.366154,10.769231,
1962,SANTA VITORIA DO PALMAR,2020-07-31,2020,7,,15.703704,10.73913,7.677778,
1963,SANTA VITORIA DO PALMAR,2020-08-31,2020,8,,18.084615,12.353333,9.3,
1964,SANTA VITORIA DO PALMAR,2020-09-30,2020,9,,17.892308,13.475455,9.480769,
1965,SANTA VITORIA DO PALMAR,2020-10-31,2020,10,,20.457692,15.153043,12.444444,
1966,SANTA VITORIA DO PALMAR,2020-11-30,2020,11,,23.656,19.0672,15.708,
1967,SANTA VITORIA DO PALMAR,2020-12-31,2020,12,16.8,27.044444,21.434074,17.296296,
1968,SANTA VITORIA DO PALMAR,2021-01-31,2021,1,,28.330769,22.99,18.781818,
1969,SANTA VITORIA DO PALMAR,2021-02-28,2021,2,,27.070833,22.393333,19.183333,
1970,SANTA VITORIA DO PALMAR,2021-03-31,2021,3,,26.2625,21.820833,19.128,
1971,SANTA VITORIA DO PALMAR,2021-04-30,2021,4,,24.280769,19.407273,16.196154,
1972,SANTA VITORIA DO PALMAR,2021-05-31,2021,5,,19.376923,13.353333,10.169231,
1973,SANTA VITORIA DO PALMAR,2021-06-30,2021,6,,16.492308,12.884545,10.023077,
1974,SANTA VITORIA DO PALMAR,2021-07-31,2021,7,81.9,16.403704,11.173913,8.340741,
1975,SANTA VITORIA DO PALMAR,2021-08-31,2021,8,,16.953846,12.83619,10.003846,
1976,SANTA VITORIA DO PALMAR,2021-09-30,2021,9,,18.484615,14.839091,12.784615,
1977,SANTA VITORIA DO PALMAR,2021-10-31,2021,10,16.2,22.238462,16.849091,12.992308,
1978,SANTA VITORIA DO PALMAR,2021-11-30,2021,11,55.3,24.584615,18.94,16.130769,
1979,SANTA VITORIA DO PALMAR,2021-12-31,2021,12,10.1,26.077778,21.091818,17.911111,
