Country Name,Total Population Millions,Median Age,Life Expectation
Afeganistão,32.629308800000004,15.364293333333334,61.899660000000004
Alemanha,82.08711846666667,44.06318,80.57970666666667
Angola,27.349752133333332,16.028766666666666,59.216120000000004
Anguilla,0.014149400000000001,33.3383,77.12426
Antígua e Barbuda,0.08859206666666666,31.820033333333335,77.65318666666667
Argentina,42.738108000000004,29.713433333333334,76.24046
Aruba,0.10295373333333332,38.70658,75.36168666666666
Austrália,23.464015733333333,36.24195333333333,82.67102
Bahamas,0.3870078,29.968313333333334,72.79470666666666
Bangladesh,156.1556138,23.715893333333334,70.0541
Barbados,0.27708693333333334,36.83578,76.44230666666667
Barein,1.3136462666666666,29.844586666666665,79.06214666666666
Belice,0.35138193333333334,22.469313333333332,72.65831333333334
Benin,10.699818466666667,17.075866666666666,59.093759999999996
Bolívia,10.912073466666667,22.24476,66.41806666666668
Brasil,203.17946500000002,29.875960000000003,73.80917333333333
Bulgária,7.348560066666667,42.341660000000005,74.09924666666667
Bélgica,11.160567066666665,40.30712666666667,80.71016
Bósnia-Herzegovina,3.6027850666666668,39.09564666666667,76.60132666666667
Cabo Verde,0.546242,23.374613333333333,74.56796
Camarões,22.4871006,17.01615333333333,58.69816
Canadá,35.4749064,39.2917,81.71476
Catar,2.180254933333333,30.33782666666667,79.30932
Chile,17.837600000000002,32.85016666666667,79.29685333333333
China,1381.3054292666668,35.33254,76.6189
Chipre,1.1717069333333332,34.574553333333334,80.45742666666666
Cingapura,5.469677666666667,38.48678666666667,82.43610666666667
Colômbia,47.01787053333333,28.05956666666667,75.41109333333334
Comores,0.7164478,18.375819999999997,62.39538
Congo,4.928317933333333,18.28264,62.49792
Coreia do Sul,50.29681366666667,39.14444666666667,82.04926
Costa Rica,4.827751933333333,29.803913333333334,78.94602
Costa do Marfim,23.299223933333334,16.885313333333333,56.7849
Croácia,4.262969533333334,41.89267333333333,77.47591333333334
Cuba,11.306801733333334,38.91728666666667,77.37084666666667
Curaçao,0.17014473333333333,36.862986666666664,75.44290666666667
Dinamarca,5.6584778,40.29535333333333,80.27578666666666
Dominica,0.06987053333333333,30.60562666666667,71.16741333333333
El Salvador,6.194862933333334,23.88336,71.74898
Emirados Arabes Unidos,8.543161066666666,28.771026666666668,78.74357333333334
Equador,15.997450333333335,25.15332,75.73179333333334
Espanha,46.5979448,40.96909333333333,82.44074
Estados Unidos,321.40525253333334,36.54590666666666,78.57626666666667
Estônia,1.3254503333333332,40.20050666666667,76.79911333333332
Filipinas,101.5639314,22.774933333333333,71.01335999999999
Finlândia,5.439449266666667,41.40553333333333,80.88828
França,63.33272266666666,40.090226666666666,81.98854
Gana,28.226694266666666,19.592626666666668,62.65765333333333
Gibraltar,0.03197286666666667,39.5782,81.23458666666667
Grécia,10.827582,42.0376,80.64519999999999
Guatemala,15.691686666666667,19.902373333333333,71.48025333333334
Guiana,0.7639998666666667,23.843793333333334,67.52296
