Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent
Brasil,Antilhas Holandesas,2021,0,0,Netherlands Antilles,North America
Brasil,Argentina,2007,0,0,Argentina,South America
Brasil,Argentina,2008,0,0,Argentina,South America
Brasil,Argentina,2009,162,4523,Argentina,South America
Brasil,Argentina,2010,0,0,Argentina,South America
Brasil,Argentina,2011,13253,55460,Argentina,South America
Brasil,Argentina,2012,0,0,Argentina,South America
Brasil,Argentina,2013,0,0,Argentina,South America
Brasil,Argentina,2014,20385,95130,Argentina,South America
Brasil,Argentina,2015,0,0,Argentina,South America
Brasil,Argentina,2016,0,0,Argentina,South America
Brasil,Argentina,2017,0,0,Argentina,South America
Brasil,Argentina,2018,15711,59150,Argentina,South America
Brasil,Argentina,2019,0,0,Argentina,South America
Brasil,Argentina,2020,1015,4176,Argentina,South America
Brasil,Argentina,2021,6,13,Argentina,South America
Brasil,Aruba,2007,0,0,Aruba,North America
Brasil,Aruba,2008,0,0,Aruba,North America
Brasil,Aruba,2009,0,0,Aruba,North America
Brasil,Aruba,2010,0,0,Aruba,North America
Brasil,Aruba,2011,900,1680,Aruba,North America
Brasil,Aruba,2012,0,0,Aruba,North America
Brasil,Aruba,2013,0,0,Aruba,North America
Brasil,Aruba,2014,450,755,Aruba,North America
Brasil,Aruba,2015,0,0,Aruba,North America
Brasil,Aruba,2016,0,0,Aruba,North America
Brasil,Aruba,2017,0,0,Aruba,North America
Brasil,Aruba,2018,0,0,Aruba,North America
Brasil,Aruba,2019,0,0,Aruba,North America
Brasil,Aruba,2020,0,0,Aruba,North America
Brasil,Aruba,2021,0,0,Aruba,North America
Brasil,Austrália,2007,60,281,Australia,Oceania
Brasil,Austrália,2008,218726,99280,Australia,Oceania
Brasil,Austrália,2009,1014,9195,Australia,Oceania
Brasil,Austrália,2010,1823,17960,Australia,Oceania
Brasil,Austrália,2011,3632,40704,Australia,Oceania
Brasil,Austrália,2012,9345,56045,Australia,Oceania
Brasil,Austrália,2013,16707,101715,Australia,Oceania
Brasil,Austrália,2014,6308,43709,Australia,Oceania
Brasil,Austrália,2015,7437,48011,Australia,Oceania
Brasil,Austrália,2016,1954,13799,Australia,Oceania
Brasil,Austrália,2017,1350,7500,Australia,Oceania
Brasil,Austrália,2018,2055,6902,Australia,Oceania
Brasil,Austrália,2019,1161,4682,Australia,Oceania
Brasil,Austrália,2020,1013,3413,Australia,Oceania
Brasil,Austrália,2021,705,4034,Australia,Oceania
Brasil,Áustria,2007,0,0,Austria,Europe
Brasil,Áustria,2008,0,0,Austria,Europe
Brasil,Áustria,2009,0,0,Austria,Europe
Brasil,Áustria,2010,0,0,Austria,Europe
Brasil,Áustria,2011,0,0,Austria,Europe
Brasil,Áustria,2012,0,0,Austria,Europe
Brasil,Áustria,2013,0,0,Austria,Europe
Brasil,Áustria,2014,0,0,Austria,Europe
Brasil,Áustria,2015,0,0,Austria,Europe
Brasil,Áustria,2016,675,5220,Austria,Europe
Brasil,Áustria,2017,0,0,Austria,Europe
Brasil,Áustria,2018,0,0,Austria,Europe
Brasil,Áustria,2019,0,0,Austria,Europe
Brasil,Áustria,2020,0,0,Austria,Europe
Brasil,Áustria,2021,0,0,Austria,Europe
Brasil,Bahamas,2007,0,0,Bahamas,North America
Brasil,Bahamas,2008,0,0,Bahamas,North America
Brasil,Bahamas,2009,0,0,Bahamas,North America
Brasil,Bahamas,2010,3175,12759,Bahamas,North America
Brasil,Bahamas,2011,4529,28810,Bahamas,North America
Brasil,Bahamas,2012,1374,12087,Bahamas,North America
Brasil,Bahamas,2013,581,5145,Bahamas,North America
Brasil,Bahamas,2014,0,0,Bahamas,North America
Brasil,Bahamas,2015,0,0,Bahamas,North America
Brasil,Bahamas,2016,0,0,Bahamas,North America
Brasil,Bahamas,2017,0,0,Bahamas,North America
Brasil,Bahamas,2018,141,634,Bahamas,North America
Brasil,Bahamas,2019,791,3124,Bahamas,North America
Brasil,Bahamas,2020,1212,3703,Bahamas,North America
Brasil,Bahamas,2021,1083,4567,Bahamas,North America
Brasil,Bangladesh,2007,0,0,Bangladesh,Asia
Brasil,Bangladesh,2008,0,0,Bangladesh,Asia
Brasil,Bangladesh,2009,0,0,Bangladesh,Asia
Brasil,Bangladesh,2010,0,0,Bangladesh,Asia
Brasil,Bangladesh,2011,0,0,Bangladesh,Asia
Brasil,Bangladesh,2012,0,0,Bangladesh,Asia
Brasil,Bangladesh,2013,0,0,Bangladesh,Asia
Brasil,Bangladesh,2014,0,0,Bangladesh,Asia
